OID,file,path,latitude,longitude,timestamp,scanArea,pitch,roll,x,y,area,amaj,amin,dist,conf,class,UTMNO,UTMLE
66,G0019677.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019677.JPG,32.721853,-143.4752602,2019-12-03 01:17:00,108922.04766902763,69.80499382504858,3.0016177825284314,268037.77048687567,3623194.0985215064,0.22696189970445776,0.8630972716826557,0.34855548523448066,37.455117654836364,0.6279297,0.0,7,S
67,G0019928.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019928.JPG,30.9565497,-139.4019038,2019-11-26 21:15:46,277747.0418390761,69.48641419600784,-3.5102500326544e-15,652609.8720646134,3425950.752588163,3.2047717291001896,4.856353887431079,0.722306936931023,76.31609433699971,0.4506836,0.0,7,R
68,G0020089.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020089.JPG,27.88579179997222,-141.90067999997223,2019-11-27 17:33:02,275471.3116444214,69.92785508432992,-3.5102500326544e-15,411367.6440022553,3084920.449319437,12.988133755606622,5.7748977872051865,2.879279313398779,47.87628063983138,0.1184082,0.0,7,R
69,G0020090.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020090.JPG,27.88571089997222,-141.90074599997223,2019-11-27 17:33:04,170910.23188478904,69.41474387007075,1.0005401387193622,411343.73438804323,3084887.4977482413,0.15186120500189257,0.445782885319726,0.3765642035236433,19.63039246076572,0.105651855,0.0,7,R
70,G0020090.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020090.JPG,27.88571089997222,-141.90074599997223,2019-11-27 17:33:04,170910.23188478904,69.41474387007075,1.0005401387193622,411335.4718295183,3084900.902777544,0.2840231443988486,0.7770913998375238,0.38993308896671747,33.32024153074903,0.1463623,0.0,7,R
71,G0020090.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020090.JPG,27.88571089997222,-141.90074599997223,2019-11-27 17:33:04,170910.23188478904,69.41474387007075,1.0005401387193622,411350.5879372663,3084909.5863667736,8.062671037889482,4.6345847673308755,1.999303206771243,42.615967532898125,0.30810547,0.0,7,R
72,G0020092.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020092.JPG,27.8855514,-141.90087689997222,2019-11-27 17:33:08,278907.8373786788,69.2666408011897,-3.5102500326544e-15,411316.39627764444,3084884.7120864647,5.039880492236664,3.5188904124022855,1.6989431052346284,36.1579995791316,0.26513672,0.0,7,R
73,G0020256.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020256.JPG,27.1496563,-144.9821946,2019-11-29 19:18:34,169974.81193019706,69.70848447905206,1.0005401387193622,699962.2242379646,3004643.459584726,0.6091844689316273,1.1748354307647788,0.592409115160892,26.00282885235607,0.64453125,0.0,6,R
74,G0020466.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020466.JPG,27.1947909,-144.98337559997222,2019-11-29 19:36:34,127763.67468445505,70.67914562904953,2.001079618830059,699764.2133039645,3009648.0980316717,0.09538250807330291,0.4453280795097581,0.2436562268262649,31.24673598763834,0.14221191,0.0,6,R
75,G0020466.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020466.JPG,27.1947909,-144.98337559997222,2019-11-29 19:36:34,127763.67468445505,70.67914562904953,2.001079618830059,699780.9518888597,3009661.380378172,2.4976376330071215,3.1299429606589766,0.9815226794197363,49.52618270366627,0.21862793,0.0,6,R
76,G0020466.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020466.JPG,27.1947909,-144.98337559997222,2019-11-29 19:36:34,127763.67468445505,70.67914562904953,2.001079618830059,699750.6081653389,3009641.743062963,0.15559671031295116,0.5005085868838757,0.365914068267916,25.396290006887828,0.45507812,0.0,6,R
77,G0020466.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0020466.JPG,27.1947909,-144.98337559997222,2019-11-29 19:36:34,127763.67468445505,70.67914562904953,2.001079618830059,699738.8137783129,3009657.6637594183,1.1143211327161764,1.717279438008222,0.7682536009085258,44.56843863805394,0.6225586,0.0,6,R
78,G0021075.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021075.JPG,36.27346949997222,-137.62652239997223,2019-12-04 20:58:39,129913.26697928878,70.09264469439616,-2.001079618830066,264077.49029044673,4017505.7904390884,0.2769804789152126,0.6873291303823619,0.4381260391930604,24.667359755422236,0.81152344,0.0,8,S
79,G0021087.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021087.JPG,36.2762788,-137.62426999997223,2019-12-04 20:59:41,275471.3116444214,69.92785508432992,-3.5102500326544e-15,264283.1228348329,4017815.337284741,0.9357772806732639,1.369787742467351,0.6980659637049372,27.546538092811424,0.44555664,0.0,8,S
80,G0021295.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021295.JPG,27.39876999997222,-144.99016169997222,2019-11-29 20:47:34,276601.55021774094,69.70682022891623,-3.5102500326544e-15,698742.1907586803,3032244.6325188545,4.1274474640510155,3.8625840898838115,1.3050999951077842,41.596047427020046,0.10632324,0.0,6,R
81,G0021295.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021295.JPG,27.39876999997222,-144.99016169997222,2019-11-29 20:47:34,276601.55021774094,69.70682022891623,-3.5102500326544e-15,698704.8073462859,3032265.75246214,1.682714315786421,2.3590711740620467,0.7946253369189892,59.96406249978509,0.15466309,0.0,6,R
82,G0021295.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021295.JPG,27.39876999997222,-144.99016169997222,2019-11-29 20:47:34,276601.55021774094,69.70682022891623,-3.5102500326544e-15,698708.9752094019,3032237.6204915303,0.1443191628066836,0.7055777626902576,0.23388321880155488,32.07156994564164,0.20507812,0.0,6,R
83,G0021295.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021295.JPG,27.39876999997222,-144.99016169997222,2019-11-29 20:47:34,276601.55021774094,69.70682022891623,-3.5102500326544e-15,698701.8957209833,3032241.1957191685,0.28355073776460393,0.9740021207765349,0.3607275090153655,38.53501372980633,0.3239746,0.0,6,R
84,G0021295.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021295.JPG,27.39876999997222,-144.99016169997222,2019-11-29 20:47:34,276601.55021774094,69.70682022891623,-3.5102500326544e-15,698742.2058305438,3032244.6646221993,1.7677552819336064,2.347571498752019,0.943399565382435,41.6314279168292,0.6743164,0.0,6,R
85,G0021960.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0021960.JPG,36.478359799972225,-137.45711969997222,2019-12-04 22:14:39,168469.60510958915,70.3768998000548,-1.000540138719369,279882.98610785825,4039838.826821373,0.9050607413260154,1.4602303589620087,0.7845349582659031,26.877210213981627,0.7651367,0.0,8,S
86,G0023189.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0023189.JPG,36.76279569997222,-137.2306317,2019-12-04 23:59:56,131983.66740119347,69.21041633394935,-2.001079618830066,300901.67968109314,4070935.253019135,1.9458372422365093,2.3997634169891016,0.8365744325116959,56.0248882611843,0.12402344,0.0,8,S
87,G0023189.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0023189.JPG,36.76279569997222,-137.2306317,2019-12-04 23:59:56,131983.66740119347,69.21041633394935,-2.001079618830066,300910.3994924337,4071038.79912558,67.60164139535189,20.450605997754433,3.632401888966192,159.93199762530222,0.20336914,0.0,8,S
88,G0023421.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0023421.JPG,34.8986876,-136.1317042,2019-11-25 18:45:16,177966.51005898113,67.53656851792461,-1.000540138719369,396599.7782026998,3862419.929292606,0.652092998844862,1.0199186650403447,0.6643101466927493,27.660628240508508,0.7192383,0.0,8,S
89,G0023422.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0023422.JPG,34.89859969997222,-136.1317956,2019-11-25 18:45:19,132339.67168365678,69.06436315844576,-2.001079618830066,396580.0366462081,3862413.727671634,0.9785061685799334,1.6137148421250054,0.7406044278314032,33.390083087326445,0.81933594,0.0,8,S
90,G0023812.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0023812.JPG,30.6289464,-139.6703578999722,2019-11-26 23:25:12,172102.91563423036,69.0491537702831,1.0005401387193622,627431.199672071,3389253.6385558867,0.050597979872162774,0.30426712559976826,0.17210657180618388,19.214300862792133,0.11633301,0.0,7,R
